Change Component DesignItemId : Designator=C3 Old DesignItemId=Capacitor New DesignItemId=Capacitor_0805
Change Component Footprint: Designator=C3 Old Footprint=C0603 New Footprint=0805_HV
Change Component Comment : Designator=C3 Old Comment=C1608X7R1H224K080AB New Comment=Capacitor_0805
Change Component Description : Designator=C3 Old Description=CAP, CERM, 0.22 uF, 50 V, +/- 10%, X7R, 0603 New Description=CAP, CERM, * uF, 100 V, +/- 10%, X7R, 0805
Change component parameters: Designator = "C3" ("C3"); Footprint = "C0603"; UniqueID = "\LOVNTFSC" ("\LOVNTFSC")
Change component parameters (AddParameter): Name = "AEC Category"; Value = "Q200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "AEC Grade"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "AEC Qualified"; Value = "N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternate Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternate PartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Cap_Case"; Value = "1206_180"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Cap_F"; Value = "1µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3216X7R2A105K160AA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "Capacitor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR_ohm"; Value = "4.575m"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "IRMS_A"; Value = "3.39639A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "2017-03-09"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TDK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountType"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "1206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "C3216X7R2A105K160AA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarized"; Value = "N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "2008-06-19"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Y"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeArea_mm2"; Value = "5.12"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeAreaWB_mm2"; Value = "10.92"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeX_mm"; Value = "3.2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeY_mm"; Value = "1.6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeZ_mm"; Value = "1.8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "445-4467-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "810-C3216X7R2A105K160AA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TaMax_C"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TaMin_C"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TempCo"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance_%"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "U/M"; Value = "EA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value1"; Value = "0.004575 ohm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value2"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueDisplayed"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VDC_V"; Value = "100V"; VariantName = "[No Variations]"
